duration,event,X_CEM_Historico,X_DOE,X_DMU_Actual
1,0,46.33333333333333,21.166666666666668,8.0
2,0,2.9537037037037037,44.166666666666664,0.0
3,0,1.9027777777777777,11.666666666666666,0.0
2,0,7.773412698412699,40.041666666666664,0.0
2,1,1.4083333333333332,55.708333333333336,11.0
1,0,3.5000000000000004,16.208333333333332,0.0
2,1,1.0476190476190477,55.208333333333336,254.0
1,0,2.094973544973545,49.541666666666664,0.0
2,0,2.407407407407408,31.416666666666668,0.0
1,0,1.8477777777777777,60.875,66.0
3,0,3.248677248677249,72.91666666666667,70.0
3,0,2.916666666666667,34.291666666666664,0.0
1,0,3.087037037037037,32.458333333333336,0.0
3,0,1.1412698412698412,47.333333333333336,0.0
4,1,33.737037037037034,47.25,0.0
2,0,10.666666666666668,26.916666666666668,11.0
3,0,2.1930555555555555,75.75,0.0
4,0,1.3333333333333333,43.208333333333336,0.0
6,0,2.473346560846561,72.5,0.0
1,1,5.5,14.166666666666666,0.0
2,0,1.027777777777778,34.125,0.0
2,0,3.6423280423280424,52.791666666666664,0.0
4,0,3.9,34.958333333333336,0.0
1,0,0.0,12.041666666666666,0.0
3,0,0.0,37.166666666666664,0.0
2,0,13.833333333333334,24.25,19.0
1,0,6.666666666666667,17.083333333333332,0.0
3,0,42.833333333333336,21.708333333333332,0.0
2,0,7.388888888888889,27.708333333333332,0.0
2,0,0.0,18.833333333333332,0.0
2,0,1.9506613756613755,45.125,0.0
1,0,7.055555555555555,22.166666666666668,5.0
2,0,2.39,51.916666666666664,12.0
1,0,2.2486111111111113,45.791666666666664,0.0
1,0,1.5,30.041666666666668,0.0
2,0,1.4277777777777778,37.291666666666664,0.0
6,1,2.462037037037037,58.416666666666664,0.0
1,0,19.0,24.166666666666668,10.0
1,0,5.9111111111111105,40.916666666666664,0.0
2,1,1.916666666666667,25.666666666666668,0.0
2,0,1.079047619047619,31.5,0.0
2,0,3.95,48.125,0.0
3,0,5.305555555555555,31.916666666666668,0.0
2,0,2.0331443688586543,71.70833333333333,0.0
1,0,11.333333333333332,18.916666666666668,0.0
1,0,5.402777777777779,19.125,0.0
5,0,1.806878306878307,71.29166666666667,0.0
12,0,8.945380629471538,111.20833333333333,0.0
1,0,5.333333333333334,24.708333333333332,0.0
2,0,9.5,23.541666666666668,0.0
4,0,1.9296296296296296,44.458333333333336,0.0
3,0,5.651058201058201,54.75,0.0
6,0,0.0,52.041666666666664,0.0
3,0,8.166666666666666,27.208333333333332,0.0
2,1,4.669444444444444,42.875,0.0
3,0,3.3333333333333335,20.833333333333332,0.0
5,0,5.316666666666666,51.541666666666664,0.0
2,0,6.805555555555555,43.833333333333336,19.0
1,0,6.666666666666666,27.75,0.0
2,0,4.555555555555555,26.5,0.0
1,0,2.666666666666667,19.416666666666668,0.0
5,0,2.830793650793651,55.416666666666664,0.0
4,0,1.612962962962963,39.333333333333336,0.0
1,0,14.347222222222221,18.291666666666668,0.0
1,0,1.1111111111111112,11.75,0.0
1,0,0.0,11.583333333333334,0.0
2,1,2.388756613756614,70.25,0.0
4,0,2.674074074074074,41.333333333333336,0.0
3,0,4.890873015873016,44.916666666666664,0.0
2,0,1.555952380952381,66.91666666666667,0.0
3,1,14.256944444444445,42.708333333333336,0.0
1,0,26.0,9.041666666666666,0.0
1,1,2.8981481481481484,46.583333333333336,0.0
5,0,2.556031746031746,51.958333333333336,0.0
5,0,2.3333333333333335,50.541666666666664,0.0
4,0,0.74,63.625,0.0
1,0,34.22222222222222,30.958333333333332,0.0
3,1,39.44444444444444,36.083333333333336,29.0
1,0,2.925925925925926,28.208333333333332,0.0
2,0,11.333333333333332,17.25,0.0
1,0,8.416666666666668,24.833333333333332,2.0
3,0,0.0,33.5,0.0
3,0,1.1111111111111112,7.708333333333333,0.0
6,0,1.6230158730158732,61.75,0.0
1,1,16.0,50.958333333333336,0.0
1,0,2.519285714285714,44.458333333333336,0.0
1,0,11.333333333333332,28.083333333333332,0.0
2,0,2.462962962962963,30.041666666666668,0.0
3,0,4.964417989417989,58.791666666666664,0.0
2,0,0.9277777777777779,46.208333333333336,0.0
2,0,3.0999999999999996,25.166666666666668,43.0
1,0,29.666666666666668,0.0,0.0
1,0,97.8888888888889,22.333333333333332,0.0
4,0,68.08333333333334,35.75,0.0
2,0,0.0,19.625,0.0
1,1,0.9091080876795162,81.08333333333333,0.0
2,0,63.5,14.791666666666666,70.0
2,0,8.986111111111112,41.416666666666664,0.0
2,1,3.7415343915343917,69.04166666666667,0.0
3,0,0.8333333333333334,33.708333333333336,0.0
3,0,0.0,24.166666666666668,0.0
2,1,9.833333333333334,32.5,0.0
3,0,4.125947971781305,81.33333333333333,11.0
2,0,2.9629629629629632,44.458333333333336,0.0
3,1,6.166666666666667,39.625,0.0
1,0,3.0821428571428573,45.708333333333336,0.0
2,0,3.6944444444444446,39.041666666666664,0.0
2,0,12.666666666666668,22.75,0.0
2,0,130.0,15.333333333333334,0.0
3,0,10.06111111111111,74.16666666666667,0.0
1,0,7.583333333333334,29.291666666666668,0.0
2,0,29.944444444444443,33.416666666666664,0.0
1,0,203.0,22.791666666666668,0.0
1,0,9.666666666666668,29.166666666666668,0.0
2,0,3.5,21.333333333333332,0.0
1,0,40.38888888888889,50.541666666666664,25.0
5,1,4.625,18.083333333333332,0.0
1,0,26.12962962962963,37.625,0.0
2,1,43.666666666666664,32.875,0.0
3,1,17.402645502645502,54.666666666666664,0.0
3,0,33.333333333333336,26.0,0.0
4,0,2.4074074074074074,0.2916666666666667,0.0
4,0,0.4955555555555556,72.95833333333333,0.0
3,0,8.555555555555555,28.375,0.0
4,1,26.037037037037035,44.625,0.0
1,0,9.637619047619047,55.875,0.0
2,0,5.943333333333333,50.708333333333336,54.0
2,0,103.4,42.833333333333336,0.0
2,0,19.12962962962963,34.333333333333336,0.0
1,1,11.555555555555555,44.375,31.0
2,0,11.333333333333332,7.875,0.0
1,0,106.0,10.041666666666666,11.0
2,0,12.340277777777779,31.458333333333332,0.0
1,0,2.5,16.333333333333332,0.0
2,1,3.6666666666666665,41.958333333333336,202.0
2,0,4.0,14.416666666666666,0.0
1,1,12.518518518518519,33.75,0.0
1,0,25.5,40.0,0.0
1,0,57.99999999999999,12.708333333333334,0.0
1,1,2.077970177970178,110.33333333333333,0.0
3,0,45.5,24.0,0.0
2,0,31.333333333333336,18.916666666666668,0.0
3,0,4.138888888888889,37.0,0.0
3,0,16.944444444444446,3.9166666666666665,86.0
3,1,12.833333333333334,1.875,0.0
1,0,4.911111111111111,37.083333333333336,0.0
2,1,7.12037037037037,39.958333333333336,30.0
2,1,3.953205524634096,67.70833333333333,0.0
2,0,33.77777777777778,20.333333333333332,0.0
6,0,5.08587274548813,126.125,0.0
1,0,254.0,23.666666666666668,0.0
7,0,6.593178382464097,113.875,0.0
2,0,10.13888888888889,61.875,0.0
4,0,26.52777777777778,43.958333333333336,0.0
2,0,6.0,64.16666666666667,0.0
1,0,4.75,60.375,23.0
3,0,25.666666666666664,29.458333333333332,97.0
4,0,11.370370370370368,35.333333333333336,0.0
2,1,2.3666666666666667,75.29166666666667,0.0
4,0,8.738888888888889,69.75,42.0
2,1,4.0,36.833333333333336,29.0
1,0,203.5,21.541666666666668,0.0
3,0,28.333333333333332,47.0,0.0
2,0,1.4722222222222223,63.666666666666664,14.0
2,1,2.4583333333333335,76.95833333333333,3.0
2,0,9.541666666666666,50.666666666666664,16.0
1,0,18.333333333333332,48.083333333333336,0.0
2,0,18.215277777777775,68.16666666666667,0.0
